$-Code, Setting, Units, Setting Description
/axes/z/homing/settle_ms,Z轴回零稳定时间,整数,Z轴回零后的稳定时间，以毫秒为单位。
/axes/z/homing/seek_scaler,Z轴回零寻找缩放,浮点数,Z轴回零寻找速度的缩放因子。
/axes/z/homing/feed_scaler,Z轴回零进给缩放,浮点数,Z轴回零进给速度的缩放因子。
/axes/z/motor0/hard_limits,Z轴硬限位,布尔,是否启用Z轴的硬限位功能。
/axes/z/motor0/pulloff_mm,Z轴脱离距离,浮点数,Z轴脱离限位开关的距离，以毫米为单位。
/coolant/delay_ms,冷却液延迟,整数,冷却液开启或关闭的延迟时间，以毫秒为单位。
/probe/check_mode_start,探针检查模式,布尔,是否在启动时检查探针模式。
/macros/startup_line0,启动宏行0,文本,启动时要执行的宏指令行0。
/macros/startup_line1,启动宏行1,文本,启动时要执行的宏指令行1。
/macros/macro0,宏指令0,文本,用户定义的宏指令0。
/macros/macro1,宏指令1,文本,用户定义的宏指令1。
/macros/macro2,宏指令2,文本,用户定义的宏指令2。
/macros/macro3,宏指令3,文本,用户定义的宏指令3。
/macros/after_homing,回零后执行宏,文本,回零完成后执行的宏指令。
/macros/after_reset,复位后执行宏,文本,复位完成后执行的宏指令。
/macros/after_unlock,解锁后执行宏,文本,解锁完成后执行的宏指令。
/start/must_home,必须回零,布尔,是否要求在启动时进行回零。
/start/deactivate_parking,启动时取消停车,布尔,是否在启动时取消停车状态。
/start/check_limits,启动时检查限位,布尔,是否在启动时检查限位状态。
/parking/enable,停车使能,布尔,是否启用停车功能。
/parking/axis,停车轴,文本,停车时使用的轴。
/parking/target_mpos_mm,停车目标位置,浮点数,停车的目标位置，以毫米为单位。
/parking/rate_mm_per_min,停车速度,浮点数,停车时的运动速度，以毫米每分钟为单位。
/parking/pullout_distance_mm,停车退出距离,浮点数,从停车位置退出的距离，以毫米为单位。
/parking/pullout_rate_mm_per_min,停车退出速度,浮点数,从停车位置退出时的运动速度，以毫米每分钟为单位。
/user_outputs/analog0_hz,用户输出模拟信号0频率,浮点数,用户定义的模拟输出信号0的频率。
/user_outputs/analog1_hz,用户输出模拟信号1频率,浮点数,用户定义的模拟输出信号1的频率。
/user_outputs/analog2_hz,用户输出模拟信号2频率,浮点数,用户定义的模拟输出信号2的频率。
/user_outputs/analog3_hz,用户输出模拟信号3频率,浮点数,用户定义的模拟输出信号3的频率。
/oled/i2c_num,OLED显示器I2C编号,整数,OLED显示器所连接的I2C总线编号。
/oled/i2c_address,OLED显示器I2C地址,整数,OLED显示器的I2C地址。
/oled/width,OLED显示器宽度,整数,OLED显示器的宽度，以像素为单位。
/oled/height,OLED显示器高度,整数,OLED显示器的高度，以像素为单位。
/oled/radio_delay_ms,OLED显示器更新延迟,整数,OLED显示器的更新延迟，以毫秒为单位。
/arc_tolerance_mm,弧线公差,浮点数,允许的弧线公差，以毫米为单位。
/junction_deviation_mm,路径连接偏差,浮点数,路径连接过程中的最大允许偏差，以毫米为单位。
/verbose_errors,详细错误信息,布尔,是否显示详细的错误信息。
/report_inches,报告单位,布尔,是否使用英寸作为报告单位。
/enable_parking_override_control,启用停车覆盖控制,布尔,是否启用停车的覆盖控制。
/use_line_numbers,使用行号,布尔,是否使用行号进行G代码解释。
/planner_blocks,运动规划器块数,整数,运动规划器中的缓冲块数。
